"contact_id","month","probab"
401612,"SF",0.650200614025113
401612,"LAL",0.349799385974887
401713,"SO",1
403510,"SJ",0.712904322978176
404800,"SO",0.836903534836007
404913,"SJ",0.542172702126379
404913,"SJ",0.457827297873621
405201,"SO",0.960704075006172
405713,"SO",0.399353561661436
407413,"SO",1
450006,"SA",0.331317758826216
450029,"SV",0.336926750928723
450029,"SO",0.663073249071277
450041,"SA",0.458780980198445
450041,"SO",0.447857623527053
450051,"SV",0.324617403475489
450061,"SF",0.520614645419857
450061,"SJ",0.332760307184309
450099,"SF",0.523855776101903
450099,"SJ",0.476144223898097
450180,"SJ",0.323250429189804
450219,"SA",0.763636298699597
450225,"LAL",0.577573258054331
450248,"SJ",0.384595332795986
450264,"LAL",0.499054923905387
450322,"SO",0.782692855357233
450343,"LAL",0.921158017990531
450364,"SJ",0.303227746106335
450364,"SO",0.37151289995471
450372,"SA",0.63610779404444
450410,"LAL",0.924537099777709
450433,"SO",1
450453,"SA",0.383858784078056
450581,"LAL",0.314686155283718
450682,"SJ",0.430436991693175
450682,"LAL",0.569563008306825
450700,"SF",0.321314222919695
450700,"SJ",0.492352922651707
450776,"SF",0.344029074876787
450796,"SA",0.53611699902532
450796,"SA",0.388917621362653
450845,"LAL",0.449792559694017
450931,"SJ",0.305070014288988
450979,"SA",0.542671285236139
451013,"SA",0.717302800614755
451024,"SO",0.581921696952373
451043,"SJ",0.385643956071496
451043,"SA",0.36999235254282
451062,"SO",0.432321477281881
451117,"SJ",0.685444782436194
451117,"LAL",0.314555217563806
451172,"SJ",0.338350945571885
451172,"SO",0.598853928519331
451199,"SO",0.455449880467072
451213,"SO",1
451250,"SJ",0.721741355050527
451295,"SV",0.316696797258874
451295,"SA",0.360616972485995
451295,"SO",0.32268623025513
451309,"SA",0.673672921871883
451313,"SF",0.360712282548021
451358,"SA",0.303208194820964
451377,"SJ",0.628943864678192
451380,"SO",0.480120532933062
451502,"LAL",0.773244344336022
451558,"SF",0.322019331286648
451567,"SA",0.340860516066896
451567,"LAL",0.659139483933104
451572,"SA",0.694525027308096
451709,"SA",0.31981269589815
451709,"SO",0.386377397864061
451759,"SO",0.445639144925264
451869,"SO",0.33703481762222
451870,"LAL",1
451878,"LAL",0.842579655567485
451900,"SA",0.477311369708746
451900,"SO",0.522688630291254
451908,"SJ",0.827848588365155
451943,"SJ",0.339454472030746
451943,"SA",0.401524986962993
451945,"SJ",0.350644862284227
452057,"SJ",0.398349181553643
452057,"SA",0.430909306746847
452142,"SJ",0.316366271194146
452157,"SJ",0.614082547989933
452157,"SA",0.385917452010067
452175,"SJ",0.686717003054299
452235,"SA",0.60467786404389
452292,"SO",0.351121328045485
452292,"SO",0.351121328045485
452326,"LAL",0.31934486702822
452343,"LAL",0.690723722331424
452458,"SJ",0.487383401503441
452470,"SA",0.917502530569061
